"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843966","230.1.2","","F","","","0"
"2018","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843966","230.1.2","","F","","","0"
"2019","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843966","230.1.2","","F","","","0"
"2020","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843966","230.1.2","","F","","","0"
"2021","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843966","230.1.2","","F","","","0"
"2011","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844006","230.1.3","","F","","","0"
"2012","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844006","230.1.3","","F","","","0"
"2013","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844006","230.1.3","","F","","","0"
"2014","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844006","230.1.3","","F","","","0"
"2015","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844006","230.1.3","","F","","","0"
"2016","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844006","230.1.3","","F","","","0"
"2017","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844006","230.1.3","","F","","","0"
"2018","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844006","230.1.3","","F","","","0"
"2019","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844006","230.1.3","","F","","","0"
"2020","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844006","230.1.3","","F","","","0"
"2021","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844006","230.1.3","","F","","","0"
"2011","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844046","230.1.4","","F","","","0"
"2012","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844046","230.1.4","","F","","","0"
"2013","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844046","230.1.4","","F","","","0"
"2014","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844046","230.1.4","","F","","","0"
"2015","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844046","230.1.4","","F","","","0"
"2016","Trent Hills, Ontario","2011A00053514045","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844046","230.1.4","","F","","","0"
