"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Windsor, Ontario","2011S0503559","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823643","128.2.3","1273","","","","0"
"2021","Windsor, Ontario","2011S0503559","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823643","128.2.3","997","","","","0"
"2011","Windsor, Ontario","2011S0503559","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823777","128.2.4","936","","","","0"
"2012","Windsor, Ontario","2011S0503559","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823777","128.2.4","","F","","","0"
"2013","Windsor, Ontario","2011S0503559","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823777","128.2.4","939","","","","0"
"2014","Windsor, Ontario","2011S0503559","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823777","128.2.4","967","","","","0"
"2015","Windsor, Ontario","2011S0503559","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823777","128.2.4","1033","","","","0"
"2016","Windsor, Ontario","2011S0503559","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823777","128.2.4","1092","","","","0"
"2017","Windsor, Ontario","2011S0503559","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823777","128.2.4","1050","","","","0"
"2018","Windsor, Ontario","2011S0503559","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823777","128.2.4","1156","","","","0"
"2019","Windsor, Ontario","2011S0503559","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823777","128.2.4","1065","","","","0"
"2020","Windsor, Ontario","2011S0503559","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823777","128.2.4","","F","","","0"
"2021","Windsor, Ontario","2011S0503559","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823777","128.2.4","1535","","","","0"
"2011","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824045","128.1.2","625","","","","0"
"2012","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824045","128.1.2","647","","","","0"
"2013","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824045","128.1.2","656","","","","0"
"2014","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824045","128.1.2","664","","","","0"
"2015","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824045","128.1.2","689","","","","0"
"2016","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824045","128.1.2","706","","","","0"
"2017","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824045","128.1.2","720","","","","0"
"2018","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824045","128.1.2","772","","","","0"
"2019","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824045","128.1.2","831","","","","0"
"2020","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824045","128.1.2","896","","","","0"
"2021","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824045","128.1.2","976","","","","0"
"2011","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824179","128.1.3","753","","","","0"
"2012","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824179","128.1.3","778","","","","0"
"2013","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824179","128.1.3","788","","","","0"
"2014","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824179","128.1.3","798","","","","0"
"2015","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824179","128.1.3","824","","","","0"
"2016","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824179","128.1.3","852","","","","0"
"2017","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824179","128.1.3","868","","","","0"
"2018","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824179","128.1.3","915","","","","0"
"2019","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824179","128.1.3","949","","","","0"
"2020","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824179","128.1.3","1027","","","","0"
"2021","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824179","128.1.3","1154","","","","0"
"2011","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824313","128.1.4","880","","","","0"
"2012","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824313","128.1.4","926","","","","0"
"2013","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824313","128.1.4","928","","","","0"
"2014","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824313","128.1.4","912","","","","0"
"2015","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824313","128.1.4","925","","","","0"
"2016","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824313","128.1.4","1046","","","","0"
"2017","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824313","128.1.4","1035","","","","0"
"2018","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824313","128.1.4","1090","","","","0"
"2019","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824313","128.1.4","1130","","","","0"
"2020","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824313","128.1.4","1214","","","","0"
"2021","Windsor, Ontario","2011S0503559","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824313","128.1.4","1367","","","","0"
"2011","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822974","134.3.2","677","","","","0"
"2012","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822974","134.3.2","704","","","","0"
"2013","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822974","134.3.2","750","","","","0"
"2014","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822974","134.3.2","782","","","","0"
"2015","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822974","134.3.2","813","","","","0"
"2016","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822974","134.3.2","836","","","","0"
"2017","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822974","134.3.2","880","","","","0"
"2018","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822974","134.3.2","920","","","","0"
"2019","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822974","134.3.2","958","","","","0"
"2020","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822974","134.3.2","991","","","","0"
"2021","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822974","134.3.2","1030","","","","0"
"2011","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823108","134.3.3","874","","","","0"
"2012","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823108","134.3.3","909","","","","0"
"2013","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823108","134.3.3","967","","","","0"
"2014","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823108","134.3.3","1015","","","","0"
"2015","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823108","134.3.3","1043","","","","0"
"2016","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823108","134.3.3","1066","","","","0"
"2017","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823108","134.3.3","1107","","","","0"
"2018","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823108","134.3.3","1180","","","","0"
"2019","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823108","134.3.3","1224","","","","0"
"2020","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823108","134.3.3","1264","","","","0"
"2021","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823108","134.3.3","1318","","","","0"
"2011","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823242","134.3.4","1023","","","","0"
"2012","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823242","134.3.4","1069","","","","0"
"2013","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823242","134.3.4","1179","","","","0"
"2014","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823242","134.3.4","1188","","","","0"
"2015","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823242","134.3.4","1231","","","","0"
"2016","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823242","134.3.4","1280","","","","0"
"2017","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823242","134.3.4","1350","","","","0"
"2018","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823242","134.3.4","1420","","","","0"
"2019","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823242","134.3.4","1506","","","","0"
"2020","Winnipeg, Manitoba","2011S0503602","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823242","134.3.4","1565","","","","0"
